pdf_name,page_num,block_id,age,age_confidence,gender,gender_confidence
BoothVoterList_A4_Ward_10_Booth_1.pdf,2,rectangle_5,39,0.6109,F,0.7131
BoothVoterList_A4_Ward_10_Booth_1.pdf,2,rectangle_6,65,0.6431,M,0.7275
BoothVoterList_A4_Ward_10_Booth_1.pdf,2,rectangle_7,53,0.7073,M,0.6913
BoothVoterList_A4_Ward_10_Booth_1.pdf,2,rectangle_8,49,0.5964,F,0.6263
BoothVoterList_A4_Ward_10_Booth_1.pdf,2,rectangle_9,NULL,0.0356,M,0.6748
BoothVoterList_A4_Ward_10_Booth_1.pdf,2,rectangle_10,NULL,0.0178,M,0.7675
BoothVoterList_A4_Ward_10_Booth_1.pdf,2,rectangle_11,69,0.6201,F,0.6648
BoothVoterList_A4_Ward_10_Booth_1.pdf,2,rectangle_12,50,0.6182,F,0.6346
BoothVoterList_A4_Ward_10_Booth_1.pdf,2,rectangle_13,49,0.562,M,0.7141
BoothVoterList_A4_Ward_10_Booth_1.pdf,2,rectangle_14,NULL,0.0483,M,0.6646
BoothVoterList_A4_Ward_10_Booth_1.pdf,2,rectangle_15,39,0.6336,M,0.6827
BoothVoterList_A4_Ward_10_Booth_1.pdf,2,rectangle_16,35,0.5206,M,0.6835
BoothVoterList_A4_Ward_10_Booth_1.pdf,2,rectangle_17,32,0.5924,M,0.6363
BoothVoterList_A4_Ward_10_Booth_1.pdf,2,rectangle_18,37,0.603,F,0.6373
BoothVoterList_A4_Ward_10_Booth_1.pdf,2,rectangle_19,24,0.6327,M,0.7437
BoothVoterList_A4_Ward_10_Booth_1.pdf,2,rectangle_20,53,0.6297,F,0.721
BoothVoterList_A4_Ward_10_Booth_1.pdf,2,rectangle_21,32,0.6468,M,0.7217
BoothVoterList_A4_Ward_10_Booth_1.pdf,2,rectangle_22,31,0.6911,M,0.681
BoothVoterList_A4_Ward_10_Booth_1.pdf,2,rectangle_23,25,0.6951,F,0.6359
BoothVoterList_A4_Ward_10_Booth_1.pdf,2,rectangle_24,78,0.6237,M,0.669
BoothVoterList_A4_Ward_10_Booth_1.pdf,2,rectangle_25,NULL,0.0181,F,0.7464
BoothVoterList_A4_Ward_10_Booth_1.pdf,2,rectangle_26,72,0.6986,M,0.7034
BoothVoterList_A4_Ward_10_Booth_1.pdf,2,rectangle_27,65,0.6277,F,0.6446
BoothVoterList_A4_Ward_10_Booth_1.pdf,2,rectangle_28,72,0.6303,M,0.716
BoothVoterList_A4_Ward_10_Booth_1.pdf,2,rectangle_29,55,0.6387,F,0.6012
BoothVoterList_A4_Ward_10_Booth_1.pdf,2,rectangle_30,53,0.6394,M,0.6744
BoothVoterList_A4_Ward_10_Booth_1.pdf,3,rectangle_1,43,0.5717,M,0.6941
BoothVoterList_A4_Ward_10_Booth_1.pdf,3,rectangle_2,36,0.5472,M,0.6457
BoothVoterList_A4_Ward_10_Booth_1.pdf,3,rectangle_3,36,0.6336,M,0.6565
BoothVoterList_A4_Ward_10_Booth_1.pdf,3,rectangle_4,37,0.4704,M,0.7505
BoothVoterList_A4_Ward_10_Booth_1.pdf,3,rectangle_5,34,0.5843,F,0.7131
BoothVoterList_A4_Ward_10_Booth_1.pdf,3,rectangle_6,33,0.6346,M,0.7275
BoothVoterList_A4_Ward_10_Booth_1.pdf,3,rectangle_7,32,0.7067,M,0.6913
BoothVoterList_A4_Ward_10_Booth_1.pdf,3,rectangle_8,32,0.668,M,0.642
BoothVoterList_A4_Ward_10_Booth_1.pdf,3,rectangle_9,33,0.6742,F,0.6044
BoothVoterList_A4_Ward_10_Booth_1.pdf,3,rectangle_10,29,0.634,F,0.7365
BoothVoterList_A4_Ward_10_Booth_1.pdf,3,rectangle_11,28,0.7068,F,0.6648
BoothVoterList_A4_Ward_10_Booth_1.pdf,3,rectangle_12,23,0.6449,F,0.6346
BoothVoterList_A4_Ward_10_Booth_1.pdf,3,rectangle_13,22,0.5826,F,0.805
BoothVoterList_A4_Ward_10_Booth_1.pdf,3,rectangle_14,22,0.6325,M,0.6646
BoothVoterList_A4_Ward_10_Booth_1.pdf,3,rectangle_15,21,0.5758,M,0.6827
BoothVoterList_A4_Ward_10_Booth_1.pdf,3,rectangle_16,31,0.5478,F,0.7249
BoothVoterList_A4_Ward_10_Booth_1.pdf,3,rectangle_17,31,0.6352,M,0.6363
BoothVoterList_A4_Ward_10_Booth_1.pdf,3,rectangle_18,31,0.6578,F,0.6373
BoothVoterList_A4_Ward_10_Booth_1.pdf,3,rectangle_19,57,0.56,M,0.7437
BoothVoterList_A4_Ward_10_Booth_1.pdf,3,rectangle_20,56,0.6244,F,0.721
BoothVoterList_A4_Ward_10_Booth_1.pdf,3,rectangle_21,NULL,0.0359,F,0.5536
BoothVoterList_A4_Ward_10_Booth_1.pdf,3,rectangle_22,36,0.5968,F,0.6944
BoothVoterList_A4_Ward_10_Booth_1.pdf,3,rectangle_23,32,0.683,M,0.6382
BoothVoterList_A4_Ward_10_Booth_1.pdf,3,rectangle_24,26,0.6039,F,0.6136
BoothVoterList_A4_Ward_10_Booth_1.pdf,3,rectangle_25,35,0.572,M,0.7648
BoothVoterList_A4_Ward_10_Booth_1.pdf,3,rectangle_26,31,0.696,M,0.7034
BoothVoterList_A4_Ward_10_Booth_1.pdf,3,rectangle_27,87,0.6876,M,0.7268
BoothVoterList_A4_Ward_10_Booth_1.pdf,3,rectangle_28,71,0.6247,M,0.716
BoothVoterList_A4_Ward_10_Booth_1.pdf,3,rectangle_29,68,0.6828,F,0.6012
BoothVoterList_A4_Ward_10_Booth_1.pdf,3,rectangle_30,48,0.6071,M,0.6744
BoothVoterList_A4_Ward_10_Booth_1.pdf,4,rectangle_1,NULL,0.0354,M,0.6941
BoothVoterList_A4_Ward_10_Booth_1.pdf,4,rectangle_2,NULL,0.0592,F,0.6596
BoothVoterList_A4_Ward_10_Booth_1.pdf,4,rectangle_3,33,0.5354,F,0.6314
BoothVoterList_A4_Ward_10_Booth_1.pdf,4,rectangle_4,28,0.6019,M,0.7505
BoothVoterList_A4_Ward_10_Booth_1.pdf,4,rectangle_5,23,0.6565,F,0.7131
BoothVoterList_A4_Ward_10_Booth_1.pdf,4,rectangle_6,80,0.7255,F,0.686
BoothVoterList_A4_Ward_10_Booth_1.pdf,4,rectangle_7,71,0.6148,F,0.6889
BoothVoterList_A4_Ward_10_Booth_1.pdf,4,rectangle_8,58,0.6439,F,0.6263
BoothVoterList_A4_Ward_10_Booth_1.pdf,4,rectangle_9,56,0.6393,F,0.6044
BoothVoterList_A4_Ward_10_Booth_1.pdf,4,rectangle_10,43,0.6569,M,0.7675
BoothVoterList_A4_Ward_10_Booth_1.pdf,4,rectangle_11,37,0.5937,F,0.6648
BoothVoterList_A4_Ward_10_Booth_1.pdf,4,rectangle_12,33,0.6805,M,0.7348
BoothVoterList_A4_Ward_10_Booth_1.pdf,4,rectangle_13,31,0.5779,F,0.805
BoothVoterList_A4_Ward_10_Booth_1.pdf,4,rectangle_14,NULL,0.062,M,0.6646
BoothVoterList_A4_Ward_10_Booth_1.pdf,4,rectangle_15,49,0.5987,F,0.7235
BoothVoterList_A4_Ward_10_Booth_1.pdf,4,rectangle_16,NULL,0.0342,M,0.6835
BoothVoterList_A4_Ward_10_Booth_1.pdf,4,rectangle_17,39,0.5591,F,0.6671
BoothVoterList_A4_Ward_10_Booth_1.pdf,4,rectangle_18,NULL,0.0324,M,0.6478
BoothVoterList_A4_Ward_10_Booth_1.pdf,4,rectangle_19,34,0.5769,M,0.7437
BoothVoterList_A4_Ward_10_Booth_1.pdf,4,rectangle_20,30,0.5786,F,0.721
BoothVoterList_A4_Ward_10_Booth_1.pdf,4,rectangle_21,61,0.706,M,0.7217
BoothVoterList_A4_Ward_10_Booth_1.pdf,4,rectangle_22,59,0.7008,M,0.681
BoothVoterList_A4_Ward_10_Booth_1.pdf,4,rectangle_23,56,0.595,F,0.6359
BoothVoterList_A4_Ward_10_Booth_1.pdf,4,rectangle_24,53,0.6771,M,0.669
BoothVoterList_A4_Ward_10_Booth_1.pdf,4,rectangle_25,48,0.642,F,0.7464
BoothVoterList_A4_Ward_10_Booth_1.pdf,4,rectangle_26,31,0.696,M,0.7034
BoothVoterList_A4_Ward_10_Booth_1.pdf,4,rectangle_27,32,0.5642,F,0.6446
BoothVoterList_A4_Ward_10_Booth_1.pdf,4,rectangle_28,37,0.4481,F,0.6621
BoothVoterList_A4_Ward_10_Booth_1.pdf,4,rectangle_29,38,0.5611,F,0.6012
BoothVoterList_A4_Ward_10_Booth_1.pdf,4,rectangle_30,34,0.599,M,0.6744
BoothVoterList_A4_Ward_10_Booth_1.pdf,5,rectangle_1,37,0.4455,F,0.7149
BoothVoterList_A4_Ward_10_Booth_1.pdf,5,rectangle_2,24,0.6055,F,0.6596
BoothVoterList_A4_Ward_10_Booth_1.pdf,5,rectangle_3,41,0.6606,M,0.6565
BoothVoterList_A4_Ward_10_Booth_1.pdf,5,rectangle_4,34,0.5826,F,0.7812
BoothVoterList_A4_Ward_10_Booth_1.pdf,5,rectangle_5,NULL,0.0446,F,0.7131
BoothVoterList_A4_Ward_10_Booth_1.pdf,5,rectangle_6,23,0.6356,M,0.7275
BoothVoterList_A4_Ward_10_Booth_1.pdf,5,rectangle_7,38,0.6992,F,0.6889
BoothVoterList_A4_Ward_10_Booth_1.pdf,5,rectangle_8,35,0.65,M,0.642
BoothVoterList_A4_Ward_10_Booth_1.pdf,5,rectangle_9,42,0.6315,M,0.6748
BoothVoterList_A4_Ward_10_Booth_1.pdf,5,rectangle_10,33,0.6529,F,0.7365
BoothVoterList_A4_Ward_10_Booth_1.pdf,5,rectangle_11,34,0.598,M,0.7087
BoothVoterList_A4_Ward_10_Booth_1.pdf,5,rectangle_12,30,0.6561,F,0.6346
BoothVoterList_A4_Ward_10_Booth_1.pdf,5,rectangle_13,34,0.5788,F,0.805
BoothVoterList_A4_Ward_10_Booth_1.pdf,5,rectangle_14,24,0.6177,F,0.7416
BoothVoterList_A4_Ward_10_Booth_1.pdf,5,rectangle_15,40,0.5954,F,0.7235
BoothVoterList_A4_Ward_10_Booth_1.pdf,5,rectangle_16,38,0.5203,F,0.7249
BoothVoterList_A4_Ward_10_Booth_1.pdf,5,rectangle_17,29,0.6697,F,0.6671
BoothVoterList_A4_Ward_10_Booth_1.pdf,5,rectangle_18,30,0.561,F,0.6373
BoothVoterList_A4_Ward_10_Booth_1.pdf,5,rectangle_19,52,0.7173,M,0.7437
BoothVoterList_A4_Ward_10_Booth_1.pdf,5,rectangle_20,40,0.5748,F,0.721
BoothVoterList_A4_Ward_10_Booth_1.pdf,5,rectangle_21,22,0.6056,F,0.5536
BoothVoterList_A4_Ward_10_Booth_1.pdf,5,rectangle_22,40,0.649,F,0.6944
BoothVoterList_A4_Ward_10_Booth_1.pdf,5,rectangle_23,33,0.6278,M,0.6382
BoothVoterList_A4_Ward_10_Booth_1.pdf,5,rectangle_24,26,0.6039,F,0.6136
BoothVoterList_A4_Ward_10_Booth_1.pdf,5,rectangle_25,26,0.5776,M,0.7648
BoothVoterList_A4_Ward_10_Booth_1.pdf,5,rectangle_26,42,0.6104,F,0.6698
BoothVoterList_A4_Ward_10_Booth_1.pdf,5,rectangle_27,37,0.5478,M,0.7268
BoothVoterList_A4_Ward_10_Booth_1.pdf,5,rectangle_28,37,0.4481,M,0.716
BoothVoterList_A4_Ward_10_Booth_1.pdf,5,rectangle_29,35,0.5394,F,0.6012
BoothVoterList_A4_Ward_10_Booth_1.pdf,5,rectangle_30,33,0.599,F,0.5812
BoothVoterList_A4_Ward_10_Booth_1.pdf,6,rectangle_1,32,0.5529,M,0.6941
BoothVoterList_A4_Ward_10_Booth_1.pdf,6,rectangle_2,31,0.629,M,0.6457
BoothVoterList_A4_Ward_10_Booth_1.pdf,6,rectangle_3,31,0.6527,F,0.6314
BoothVoterList_A4_Ward_10_Booth_1.pdf,6,rectangle_4,29,0.6416,F,0.7812
BoothVoterList_A4_Ward_10_Booth_1.pdf,6,rectangle_5,23,0.6565,F,0.7131
BoothVoterList_A4_Ward_10_Booth_1.pdf,6,rectangle_6,23,0.6356,F,0.686
BoothVoterList_A4_Ward_10_Booth_1.pdf,6,rectangle_7,30,0.6889,M,0.6913
BoothVoterList_A4_Ward_10_Booth_1.pdf,6,rectangle_8,35,0.65,M,0.642
BoothVoterList_A4_Ward_10_Booth_1.pdf,6,rectangle_9,29,0.6778,F,0.6044
BoothVoterList_A4_Ward_10_Booth_1.pdf,6,rectangle_10,60,0.5925,M,0.7675
BoothVoterList_A4_Ward_10_Booth_1.pdf,6,rectangle_11,33,0.626,M,0.7087
BoothVoterList_A4_Ward_10_Booth_1.pdf,6,rectangle_12,33,0.6805,M,0.7348
BoothVoterList_A4_Ward_10_Booth_1.pdf,6,rectangle_13,32,0.5559,F,0.805
BoothVoterList_A4_Ward_10_Booth_1.pdf,6,rectangle_14,NULL,0.062,F,0.7416
BoothVoterList_A4_Ward_10_Booth_1.pdf,6,rectangle_15,40,0.5954,F,0.7235
BoothVoterList_A4_Ward_10_Booth_1.pdf,6,rectangle_16,24,0.6112,F,0.7249
BoothVoterList_A4_Ward_10_Booth_1.pdf,6,rectangle_17,22,0.5841,M,0.6363
BoothVoterList_A4_Ward_10_Booth_1.pdf,6,rectangle_18,30,0.561,F,0.6373
BoothVoterList_A4_Ward_10_Booth_1.pdf,6,rectangle_19,49,0.6209,F,0.6333
BoothVoterList_A4_Ward_10_Booth_1.pdf,6,rectangle_20,37,0.5695,M,0.6876
BoothVoterList_A4_Ward_10_Booth_1.pdf,6,rectangle_21,35,0.6415,F,0.5536
BoothVoterList_A4_Ward_10_Booth_1.pdf,6,rectangle_22,37,0.579,M,0.681
BoothVoterList_A4_Ward_10_Booth_1.pdf,6,rectangle_23,37,0.5635,M,0.6382
BoothVoterList_A4_Ward_10_Booth_1.pdf,6,rectangle_24,33,0.6925,F,0.6136
BoothVoterList_A4_Ward_10_Booth_1.pdf,6,rectangle_25,29,0.6325,F,0.7464
BoothVoterList_A4_Ward_10_Booth_1.pdf,6,rectangle_26,38,0.657,M,0.7034
BoothVoterList_A4_Ward_10_Booth_1.pdf,6,rectangle_27,34,0.5778,M,0.7268
BoothVoterList_A4_Ward_10_Booth_1.pdf,6,rectangle_28,22,0.6406,F,0.6621
BoothVoterList_A4_Ward_10_Booth_1.pdf,6,rectangle_29,NULL,0.039,F,0.6012
BoothVoterList_A4_Ward_10_Booth_1.pdf,6,rectangle_30,39,0.6408,M,0.6744
BoothVoterList_A4_Ward_10_Booth_1.pdf,7,rectangle_1,31,0.543,M,0.6941
BoothVoterList_A4_Ward_10_Booth_1.pdf,7,rectangle_2,28,0.5994,F,0.6596
BoothVoterList_A4_Ward_10_Booth_1.pdf,7,rectangle_3,28,0.536,F,0.6314
BoothVoterList_A4_Ward_10_Booth_1.pdf,7,rectangle_4,49,0.5896,F,0.7812
BoothVoterList_A4_Ward_10_Booth_1.pdf,7,rectangle_5,34,0.5843,F,0.7131
BoothVoterList_A4_Ward_10_Booth_1.pdf,7,rectangle_6,36,0.6523,M,0.7275
BoothVoterList_A4_Ward_10_Booth_1.pdf,7,rectangle_7,40,0.6504,F,0.6889
BoothVoterList_A4_Ward_10_Booth_1.pdf,7,rectangle_8,53,0.6568,M,0.642
BoothVoterList_A4_Ward_10_Booth_1.pdf,7,rectangle_9,51,0.6676,F,0.6044
BoothVoterList_A4_Ward_10_Booth_1.pdf,7,rectangle_10,48,0.6474,F,0.7365
BoothVoterList_A4_Ward_10_Booth_1.pdf,7,rectangle_11,NULL,0.0384,M,0.7087
BoothVoterList_A4_Ward_10_Booth_1.pdf,7,rectangle_12,40,0.6056,F,0.6346
BoothVoterList_A4_Ward_10_Booth_1.pdf,7,rectangle_13,37,0.4985,M,0.7141
BoothVoterList_A4_Ward_10_Booth_1.pdf,7,rectangle_14,31,0.6599,F,0.7416
BoothVoterList_A4_Ward_10_Booth_1.pdf,7,rectangle_15,30,0.5973,F,0.7235
BoothVoterList_A4_Ward_10_Booth_1.pdf,7,rectangle_16,83,0.6104,M,0.6835
BoothVoterList_A4_Ward_10_Booth_1.pdf,7,rectangle_17,78,0.7131,F,0.6671
BoothVoterList_A4_Ward_10_Booth_1.pdf,7,rectangle_18,57,0.6561,M,0.6478
BoothVoterList_A4_Ward_10_Booth_1.pdf,7,rectangle_19,53,0.692,F,0.6333
BoothVoterList_A4_Ward_10_Booth_1.pdf,7,rectangle_20,33,0.5904,M,0.6876
BoothVoterList_A4_Ward_10_Booth_1.pdf,7,rectangle_21,29,0.6444,M,0.7217
BoothVoterList_A4_Ward_10_Booth_1.pdf,7,rectangle_22,28,0.6829,F,0.6944
BoothVoterList_A4_Ward_10_Booth_1.pdf,7,rectangle_23,34,0.6071,F,0.6359
BoothVoterList_A4_Ward_10_Booth_1.pdf,7,rectangle_24,33,0.6925,M,0.669
BoothVoterList_A4_Ward_10_Booth_1.pdf,7,rectangle_25,32,0.5147,M,0.7648
BoothVoterList_A4_Ward_10_Booth_1.pdf,7,rectangle_26,28,0.7078,F,0.6698
BoothVoterList_A4_Ward_10_Booth_1.pdf,7,rectangle_27,35,0.5958,F,0.6446
BoothVoterList_A4_Ward_10_Booth_1.pdf,7,rectangle_28,36,0.497,M,0.716
BoothVoterList_A4_Ward_10_Booth_1.pdf,7,rectangle_29,NULL,0.0616,M,0.6579
BoothVoterList_A4_Ward_10_Booth_1.pdf,7,rectangle_30,NULL,0.0842,M,0.6744
BoothVoterList_A4_Ward_10_Booth_1.pdf,8,rectangle_1,24,0.5826,M,0.6941
BoothVoterList_A4_Ward_10_Booth_1.pdf,8,rectangle_2,22,0.5496,M,0.6457
BoothVoterList_A4_Ward_10_Booth_1.pdf,8,rectangle_3,38,0.6136,F,0.6314
BoothVoterList_A4_Ward_10_Booth_1.pdf,8,rectangle_4,36,0.5292,F,0.7812
BoothVoterList_A4_Ward_10_Booth_1.pdf,8,rectangle_5,32,0.6744,M,0.6912
BoothVoterList_A4_Ward_10_Booth_1.pdf,8,rectangle_6,32,0.649,M,0.7275
BoothVoterList_A4_Ward_10_Booth_1.pdf,8,rectangle_7,22,0.6664,F,0.6889
BoothVoterList_A4_Ward_10_Booth_1.pdf,8,rectangle_8,30,0.5655,M,0.642
BoothVoterList_A4_Ward_10_Booth_1.pdf,8,rectangle_9,24,0.6483,F,0.6044
BoothVoterList_A4_Ward_10_Booth_1.pdf,8,rectangle_10,22,0.6229,M,0.7675
BoothVoterList_A4_Ward_10_Booth_1.pdf,8,rectangle_11,37,0.5937,F,0.6648
BoothVoterList_A4_Ward_10_Booth_1.pdf,8,rectangle_12,37,0.6704,M,0.7348
BoothVoterList_A4_Ward_10_Booth_1.pdf,8,rectangle_13,36,0.5467,F,0.805
BoothVoterList_A4_Ward_10_Booth_1.pdf,8,rectangle_14,33,0.5527,F,0.7416
BoothVoterList_A4_Ward_10_Booth_1.pdf,8,rectangle_15,31,0.6536,M,0.6827
BoothVoterList_A4_Ward_10_Booth_1.pdf,8,rectangle_16,28,0.5898,F,0.7249
BoothVoterList_A4_Ward_10_Booth_1.pdf,8,rectangle_17,NULL,0.0861,F,0.6671
BoothVoterList_A4_Ward_10_Booth_1.pdf,8,rectangle_18,25,0.5712,M,0.6478
BoothVoterList_A4_Ward_10_Booth_1.pdf,8,rectangle_19,42,0.6163,F,0.6333
BoothVoterList_A4_Ward_10_Booth_1.pdf,8,rectangle_20,33,0.5904,M,0.6876
BoothVoterList_A4_Ward_10_Booth_1.pdf,8,rectangle_21,30,0.5891,F,0.5536
BoothVoterList_A4_Ward_10_Booth_1.pdf,8,rectangle_22,24,0.6638,M,0.681
BoothVoterList_A4_Ward_10_Booth_1.pdf,8,rectangle_23,50,0.5859,F,0.6359
BoothVoterList_A4_Ward_10_Booth_1.pdf,8,rectangle_24,23,0.6625,M,0.669
BoothVoterList_A4_Ward_10_Booth_1.pdf,8,rectangle_25,38,0.5989,M,0.7648
BoothVoterList_A4_Ward_10_Booth_1.pdf,8,rectangle_26,60,0.6708,F,0.6698
BoothVoterList_A4_Ward_10_Booth_1.pdf,8,rectangle_27,NULL,0.0433,M,0.7268
BoothVoterList_A4_Ward_10_Booth_1.pdf,8,rectangle_28,NULL,0.043,F,0.6621
BoothVoterList_A4_Ward_10_Booth_1.pdf,8,rectangle_29,NULL,0.0885,M,0.6579
BoothVoterList_A4_Ward_10_Booth_1.pdf,8,rectangle_30,36,0.6402,F,0.5812
BoothVoterList_A4_Ward_10_Booth_1.pdf,9,rectangle_1,25,0.5946,M,0.6941
BoothVoterList_A4_Ward_10_Booth_1.pdf,10,rectangle_1,42,0.5508,M,0.6941
BoothVoterList_A4_Ward_10_Booth_1.pdf,10,rectangle_2,24,0.6055,F,0.6596
BoothVoterList_A4_Ward_10_Booth_1.pdf,10,rectangle_3,32,0.6076,M,0.6565
BoothVoterList_A4_Ward_10_Booth_1.pdf,10,rectangle_4,29,0.6416,M,0.7505
BoothVoterList_A4_Ward_10_Booth_1.pdf,10,rectangle_5,NULL,0.0845,F,0.7131
BoothVoterList_A4_Ward_10_Booth_1.pdf,10,rectangle_6,35,0.6291,F,0.686
BoothVoterList_A4_Ward_10_Booth_1.pdf,10,rectangle_7,32,0.7067,F,0.6889
BoothVoterList_A4_Ward_10_Booth_1.pdf,10,rectangle_8,31,0.6836,M,0.642
BoothVoterList_A4_Ward_10_Booth_1.pdf,10,rectangle_9,22,0.6432,M,0.6748
BoothVoterList_A4_Ward_10_Booth_1.pdf,10,rectangle_10,30,0.6222,M,0.7675
BoothVoterList_A4_Ward_10_Booth_1.pdf,10,rectangle_11,56,0.6109,M,0.7087
BoothVoterList_A4_Ward_10_Booth_1.pdf,10,rectangle_12,53,0.6763,F,0.6346
BoothVoterList_A4_Ward_10_Booth_1.pdf,10,rectangle_13,42,0.5782,F,0.805
BoothVoterList_A4_Ward_10_Booth_1.pdf,10,rectangle_14,41,0.6097,M,0.6646
BoothVoterList_A4_Ward_10_Booth_1.pdf,10,rectangle_15,35,0.5862,F,0.7235
BoothVoterList_A4_Ward_10_Booth_1.pdf,10,rectangle_16,33,0.5066,F,0.7249
BoothVoterList_A4_Ward_10_Booth_1.pdf,10,rectangle_17,NULL,0.0861,F,0.6671
BoothVoterList_A4_Ward_10_Booth_1.pdf,10,rectangle_18,25,0.5712,M,0.6478
BoothVoterList_A4_Ward_10_Booth_1.pdf,10,rectangle_19,41,0.6557,M,0.7437
BoothVoterList_A4_Ward_10_Booth_1.pdf,10,rectangle_20,36,0.5804,F,0.721
BoothVoterList_A4_Ward_10_Booth_1.pdf,10,rectangle_21,61,0.706,F,0.5536
BoothVoterList_A4_Ward_10_Booth_1.pdf,10,rectangle_22,56,0.5878,M,0.681
BoothVoterList_A4_Ward_10_Booth_1.pdf,10,rectangle_23,59,0.6804,M,0.6382
BoothVoterList_A4_Ward_10_Booth_1.pdf,10,rectangle_24,50,0.6001,F,0.6136
BoothVoterList_A4_Ward_10_Booth_1.pdf,10,rectangle_25,41,0.6588,M,0.7648
BoothVoterList_A4_Ward_10_Booth_1.pdf,10,rectangle_26,41,0.6435,F,0.6698
BoothVoterList_A4_Ward_10_Booth_1.pdf,10,rectangle_27,39,0.6002,M,0.7268
BoothVoterList_A4_Ward_10_Booth_1.pdf,10,rectangle_28,37,0.4481,F,0.6621
BoothVoterList_A4_Ward_10_Booth_1.pdf,10,rectangle_29,32,0.5273,F,0.6012
BoothVoterList_A4_Ward_10_Booth_1.pdf,10,rectangle_30,39,0.6408,M,0.6744
BoothVoterList_A4_Ward_10_Booth_1.pdf,12,rectangle_1,54,0.6414,F,0.7149
BoothVoterList_A4_Ward_10_Booth_1.pdf,12,rectangle_2,NULL,0.045,F,0.6596
BoothVoterList_A4_Ward_10_Booth_1.pdf,12,rectangle_3,53,0.5863,M,0.6565
BoothVoterList_A4_Ward_10_Booth_1.pdf,12,rectangle_4,45,0.5716,F,0.7812
BoothVoterList_A4_Ward_10_Booth_1.pdf,12,rectangle_5,42,0.6018,M,0.6912
BoothVoterList_A4_Ward_10_Booth_1.pdf,12,rectangle_6,NULL,0.0346,M,0.7275
BoothVoterList_A4_Ward_10_Booth_1.pdf,12,rectangle_7,24,0.66,M,0.6913
BoothVoterList_A4_Ward_10_Booth_1.pdf,12,rectangle_8,24,0.6363,M,0.642
